municipality
id;name
213;Ankaran
1;Ajdovščina 
195;Apače 
2;Beltinci 
148;Benedikt 
149;Bistrica ob Sotli 
3;Bled 
150;Bloke 
4;Bohinj 
5;Borovnica 
6;Bovec 
151;Braslovče 
7;Brda 
8;Brezovica 
9;Brežice 
152;Cankova 
11;Celje 
12;Cerklje na Gorenjskem 
13;Cerknica 
14;Cerkno 
153;Cerkvenjak 
196;Cirkulane 
15;Črenšovci 
16;Črna na Koroškem 
17;Črnomelj 
18;Destrnik 
19;Divača 
154;Dobje 
20;Dobrepolje 
155;Dobrna 
21;Dobrova - Polhov Gradec 
156;Dobrovnik 
22;Dol pri Ljubljani 
157;Dolenjske Toplice 
23;Domžale 
24;Dornava 
25;Dravograd 
26;Duplek 
27;Gorenja vas - Poljane 
28;Gorišnica 
207;Gorje 
29;Gornja Radgona 
30;Gornji Grad 
31;Gornji Petrovci 
158;Grad 
32;Grosuplje 
159;Hajdina 
160;Hoče - Slivnica 
161;Hodoš 
162;Horjul 
34;Hrastnik 
35;Hrpelje - Kozina 
36;Idrija 
37;Ig 
38;Ilirska Bistrica 
39;Ivančna Gorica 
40;Izola 
41;Jesenice 
163;Jezersko 
42;Juršinci 
43;Kamnik 
44;Kanal 
45;Kidričevo 
46;Kobarid 
47;Kobilje 
48;Kočevje 
49;Komen 
164;Komenda 
50;Koper 
197;Kostanjevica na Krki 
165;Kostel 
51;Kozje 
52;Kranj 
53;Kranjska Gora 
166;Križevci 
54;Krško 
55;Kungota 
56;Kuzma 
57;Laško 
58;Lenart 
59;Lendava 
60;Litija 
61;Ljubljana 
62;Ljubno 
63;Ljutomer 
208;Log - Dragomer 
64;Logatec 
65;Loška dolina 
66;Loški Potok 
167;Lovrenc na Pohorju 
67;Luče 
68;Lukovica 
69;Majšperk 
198;Makole 
70;Maribor 
168;Markovci 
71;Medvode 
72;Mengeš 
73;Metlika 
74;Mežica 
169;Miklavž na Dravskem polju
75;Miren - Kostanjevica 
212;Mirna 
170;Mirna Peč 
76;Mislinja 
199;Mokronog - Trebelno 
77;Moravče 
78;Moravske Toplice 
79;Mozirje 
80;Murska Sobota 
81;Muta 
82;Naklo 
83;Nazarje 
84;Nova Gorica 
85;Novo mesto 
86;Odranci 
171;Oplotnica 
87;Ormož 
88;Osilnica 
89;Pesnica 
90;Piran 
91;Pivka 
92;Podčetrtek 
172;Podlehnik 
93;Podvelka 
200;Poljčane 
173;Polzela 
94;Postojna 
174;Prebold 
95;Preddvor 
175;Prevalje 
96;Ptuj 
97;Puconci 
98;Rače - Fram 
99;Radeče 
100;Radenci 
101;Radlje ob Dravi 
102;Radovljica 
103;Ravne na Koroškem 
176;Razkrižje 
209;Rečica ob Savinji 
201;Renče - Vogrsko 
104;Ribnica 
177;Ribnica na Pohorju 
106;Rogaška Slatina 
105;Rogašovci 
107;Rogatec 
108;Ruše 
178;Selnica ob Dravi 
109;Semič 
110;Sevnica 
111;Sežana 
112;Slovenj Gradec 
113;Slovenska Bistrica 
114;Slovenske Konjice 
179;Sodražica 
180;Solčava 
202;Središče ob Dravi 
115;Starše 
203;Straža 
204;Sv. Trojica v Slov. Goricah 
181;Sveta Ana 
182;Sveti Andraž v Slov. Goricah 
116;Sveti Jurij ob Ščavnici 
210;Sveti Jurij v Slov. Goricah 
205;Sveti Tomaž 
33;Šalovci 
183;Šempeter - Vrtojba 
117;Šenčur 
118;Šentilj 
119;Šentjernej 
120;Šentjur pri Celju 
211;Šentrupert 
121;Škocjan 
122;Škofja Loka 
123;Škofljica 
124;Šmarje pri Jelšah 
206;Šmarješke Toplice 
125;Šmartno ob Paki 
194;Šmartno pri Litiji 
126;Šoštanj 
127;Štore 
184;Tabor 
10;Tišina 
128;Tolmin 
129;Trbovlje 
130;Trebnje 
185;Trnovska vas 
186;Trzin 
131;Tržič 
132;Turnišče 
133;Velenje 
187;Velika Polana 
134;Velike Lašče 
188;Veržej 
135;Videm 
136;Vipava 
137;Vitanje 
138;Vodice 
139;Vojnik 
189;Vransko 
140;Vrhnika 
141;Vuzenica 
142;Zagorje ob Savi 
143;Zavrč 
144;Zreče 
190;Žalec 
146;Železniki 
191;Žetale 
147;Žiri 
192;Žirovnica 
193;Žužemberk 
