study_program
id;name;id_study_degree;semesters
1000479;Informacijski sistemi in odločanje (predb D);G;4
1000480;Informacijski sistemi in odločanje (predb M);F;4
1000472;Kognitivna znanost (BM);L;4
1001001;Multimedija (BUN);K;6
100977;Pedagoško računalništvo in informatika (BM);L;4
-1;Predmetnik za tuje študente na izmenjavi;NULL;NULL
1000475;Računalništvo in informatika (predb UN);C;9
1000425;Računalništvo in matematika (predb UN);C;8
1000477;Računalništvo in informatika (predb VS);B;6
1000407;Računalništvo in matematika (BUN);K;6
1000471;Računalništvo in informatika (BM);L;4
1000468;Računalništvo in informatika (BUN);K;6
1000470;Računalništvo in informatika (BVS);J;6
1000474;Računalništvo in informatika (BD);M;6
1000478;Računalništvo in informatika (predb D);G;4
1000481;Računalništvo in informatika (predb M);F;4
1000934;Računalništvo in matematika (BM);L;4
1000469;Upravna informatika (BUN);K;6
