course
id;credit_points;deleted;name;semester
63508;6;false;Algoritmi;poletni
63711;6;false;Algoritmi in podatkovne strukture 1;zimski
63279;6;false;Algoritmi in podatkovne strukture 1;zimski
63280;6;false;Algoritmi in podatkovne strukture 2;poletni
63705;6;false;Diskretne strukture;zimski
63203;6;false;Diskretne strukture;zimski
63266;6;false;Inteligentni sistemi;zimski
63517;6;false;Izračunljivost in računska zahtevnost;zimski
63525;6;false;Odkrivanje znanj iz podatkov;poletni
63741;6;false;Odločitveni sistemi;zimski
63765;6;false;Podatkovno rudarjenje;poletni
63251;6;false;Poslovna inteligenca;zimski
63265;6;false;Prevajalniki;poletni
63722;6;false;Prevajalniki in navidezni stroji;poletni
63220;6;false;Principi programskih jezikov;poletni
63502;5;false;Programiranje;zimski
63277;6;false;Programiranje 1;zimski
63702;6;false;Programiranje 1;zimski
63278;6;false;Programiranje 2 (C);poletni
63706;6;false;Programiranje 2 (Java);poletni
63268;6;false;Razvoj inteligentnih sistemov;poletni
63263;6;false;Računska zahtevnost in hevristično programiranje;zimski
63739;6;false;Robotika in računalniško zaznavanje;zimski
63519;6;false;Strojno učenje;zimski
63510;6;false;Umetna inteligenca;poletni
63720;6;false;Umetna inteligenca;zimski
63267;6;false;Umetno zaznavanje;zimski
63520;6;false;Uvod v bioinformatiko;zimski
63212;6;false;Arhitektura računalniških sistemov;zimski
63718;6;false;Digitalna vezja;zimski
63260;6;false;Digitalno načrtovanje;zimski
63257;6;false;Modeliranje računalniških omrežij;zimski
63729;6;false;Načrtovanje digitalnih naprav;poletni
63709;6;false;Operacijski sistemi;poletni
63217;6;false;Operacijski sistemi;zimski
63717;6;false;Organizacija računalnikov;zimski
63218;6;false;Organizacija računalniških sistemov;poletni
63204;6;false;Osnove digitalnih vezij;zimski
63703;6;false;Računalniška arhitektura;zimski
63221;6;false;Računalniške tehnologije;poletni
63509;6;false;Računalniški sistemi;poletni
63264;6;false;Sistemska programska oprema;zimski
63736;6;false;Sistemska programska oprema;zimski
63728;6;false;Vhodno-izhodne naprave;poletni
63262;6;false;Zanesljivost in zmogljivost računalniških sistemov;poletni
63516;6;false;Digitalno procesiranje signalov;zimski
63744;6;false;Digitalno procesiranje signalov;zimski
63532;6;false;Diskretna matematika;poletni
63518;6;false;E-izobraževanje;zimski
63715;6;false;Grafično oblikovanje;zimski
63527;6;false;Interaktivnost in oblikovanje informacij;poletni
63210;6;false;Komunikacija človek računalnik;poletni
63734;6;false;Multimedijske tehnologije;zimski
63270;6;false;Multimedijski sistemi;zimski
63514;6;false;Obdelava biomedicinskih signalov in slik;zimski
63271;6;false;Osnove oblikovanja;poletni
63547;6;false;Poučevanje algoritmičnega razmišljanja;zimski
63726;6;false;Produkcija multimedijskih gradiv;poletni
63719;6;false;Računalniška grafika;zimski
63269;6;false;Računalniška grafika in tehnologija iger;zimski
63740;6;false;Tehnologija iger in navidezna resničnost;zimski
63721;6;false;Uporabniški vmesniki;poletni
63701;6;false;Uvod v računalništvo;zimski
63714;6;false;Informacijski sistemi;zimski
63533;6;false;Management proizvodnih in storitvenih procesov;zimski
63512;6;false;Nekonvencionalne platforme in metode procesiranja;zimski
63526;6;false;Obvladovanje informatike;poletni
63253;6;false;Planiranje in upravljanje informatike;poletni
63254;6;false;Postopki razvoja programske opreme;zimski
63737;6;false;Procesna avtomatika;zimski
63725;6;false;Razvoj informacijskih sistemov;poletni
63515;6;false;Sodobne metode razvoja programske opreme;poletni
63727;6;false;Spletne tehnologije;poletni
63255;6;false;Spletno programiranje;zimski
63732;6;false;Tehnologija programske opreme;zimski
63256;6;false;Tehnologija programske opreme;poletni
63724;6;false;Testiranje in kakovost;poletni
63738;6;false;Vgrajeni sistemi;zimski
63712;6;false;Elektronsko in mobilno poslovanje;zimski
63249;6;false;Elektronsko poslovanje;zimski
63521;6;false;Informacijska varnost in zasebnost;zimski
63528;6;false;Kriptografija in računalniška varnost;zimski
63250;6;false;Organizacija in management;poletni
63215;6;false;Osnove informacijskih sistemov;poletni
63707;6;false;Podatkovne baze;poletni
63713;6;false;Podatkovne baze 2;zimski
63530;6;false;Računalniška forenzika;poletni
63226;6;false;Tehnologija upravljanja podatkov;zimski
63216;6;false;Teorija informacij in sistemov;poletni
63259;6;false;Brezžična in mobilna omrežja;poletni
63511;6;false;Brezžična senzorska omrežja;poletni
63258;6;false;Komunikacijski protokoli;zimski
63716;6;false;Komunikacijski protokoli in omrežna varnost;zimski
63261;6;false;Porazdeljeni sistemi;zimski
63209;6;false;Računalniške komunikacije;poletni
63708;6;false;Računalniške komunikacije;poletni
63735;6;false;Vzporedni in porazdeljeni sistemi in algoritmi;zimski
63284;3;false;Tehnične veščine (Funkcijsko programiranje za splet);zimski
63752;3;false;Računalništvo v praksi 1;bločni
63242;3;false;Računalništvo v praksi 2;bločni
63202;6;false;Osnove matematične analize;zimski
63710;6;false;Osnove verjetnosti in statistike;zimski
63213;6;false;Verjetnost in statistika;zimski
63207;6;false;Linearna algebra;poletni
63205;6;false;Fizika;zimski
63248;6;false;Ekonomika in podjetništvo;poletni
63281;6;false;Diplomski seminar;poletni
63214;6;false;Osnove umetne inteligence;zimski
63219;6;false;Matematično modeliranje;poletni
63225;6;false;Izbrana poglavja iz računalništva in informatike: Analiza omrežij;bločni
63750;3;false;Športna vzgoja;zimski
63208;6;false;Osnove podatkovnih baz;zimski
