curriculum
id_curriculum;deleted;year_of_program;id_course;id_study_program;part_of_curriculum;id_study_year
1;false;1;63508;1000471;1;5
2;false;1;63508;1000934;1;5
3;false;1;63508;100977;1;5
4;false;2;63711;1000470;1;5
5;false;2;63279;1000468;1;5
6;false;2;63279;1000407;1;5
7;false;2;63280;1000468;1;5
8;false;2;63280;1000407;1;5
9;false;1;63705;1000470;1;5
10;false;1;63203;1000468;1;5
11;false;3;63266;1000468;10;5
12;false;3;63266;1000407;10;5
13;false;1;63266;1000471;10;5
14;false;2;63266;1000471;10;5
15;false;2;63517;1000468;1;5
16;false;2;63517;1000407;1;5
17;false;2;63741;1000470;2;5
18;false;2;63765;1000470;2;5
19;false;3;63251;1000468;4;5
20;false;3;63251;1000407;4;5
21;false;1;63251;1000471;4;5
22;false;2;63251;1000471;4;5
23;false;3;63265;1000468;9;5
24;false;3;63265;1000407;9;5
25;false;1;63265;1000471;9;5
26;false;2;63265;1000471;9;5
27;false;2;63722;1000470;2;5
28;false;1;63277;1000468;1;5
29;false;1;63277;1000407;1;5
30;false;1;63277;1001001;1;5
31;false;1;63702;1000470;1;5
32;false;1;63278;1000468;1;5
33;false;1;63278;1001001;1;5
34;false;1;63278;1000407;1;5
35;false;1;63706;1000470;1;5
36;false;3;63268;1000468;10;5
37;false;3;63268;1000407;10;5
38;false;3;63268;1000471;10;5
39;false;2;63220;1000468;2;5
40;false;3;63220;1000468;2;5
41;false;2;63220;1000407;1;5
42;false;3;63263;1000468;9;5
43;false;3;63263;1000407;9;5
44;false;1;63263;1000471;9;5
45;false;2;63263;1000471;9;5
46;false;2;63739;1000470;2;5
47;false;1;63212;1000468;1;5
48;false;1;63212;1000407;1;5
49;false;2;63718;1000470;2;5
50;false;3;63260;1000468;8;5
51;false;3;63260;1000407;8;5
52;false;1;63260;1000471;8;5
53;false;2;63260;1000471;8;5
54;false;3;63257;1000468;7;5
55;false;3;63257;1000407;7;5
56;false;1;63257;1000471;7;5
57;false;2;63257;1000471;7;5
58;false;2;63729;1000470;2;5
59;false;1;63709;1000470;1;5
60;false;2;63217;1000468;1;5
61;false;2;63717;1000470;2;5
62;false;2;63218;1000468;1;5
63;false;1;63204;1000468;1;5
64;false;1;63204;1000407;1;5
65;false;2;63221;1000468;2;5
66;false;1;63703;1000470;1;5
67;false;1;63509;1000471;1;5
68;false;1;63509;1000934;1;5
69;false;3;63264;1000468;9;5
70;false;3;63264;1000407;9;5
71;false;1;63264;1000471;9;5
72;false;2;63264;1000471;9;5
73;false;2;63736;1000470;2;5
74;false;2;63728;1000470;2;5
75;false;3;63262;1000468;8;5
76;false;3;63262;1000407;8;5
77;false;1;63262;1000471;8;5
78;false;2;63262;1000471;8;5
79;false;2;63744;1000470;2;5
80;false;2;63715;1000470;2;5
81;false;2;63734;1000470;2;5
82;false;3;63270;1000468;11;5
83;false;3;63270;1000407;11;5
84;false;1;63270;1000471;11;5
85;false;2;63270;1000471;11;5
86;false;3;63271;1000468;11;5
87;false;3;63271;1000407;11;5
88;false;1;63271;1000471;11;5
89;false;2;63271;1000471;11;5
90;false;2;63271;1001001;1;5
91;false;2;63726;1000470;2;5
92;false;2;63719;1000470;2;5
93;false;3;63269;1000468;11;5
94;false;3;63269;1000407;11;5
95;false;2;63269;1001001;11;5
96;false;1;63269;1000471;11;5
97;false;2;63269;1000471;11;5
98;false;2;63740;1000470;2;5
99;false;2;63721;1000470;2;5
100;false;1;63701;1000470;1;5
101;false;2;63714;1000470;2;5
102;false;3;63253;1000468;5;5
103;false;3;63253;1000407;5;5
104;false;1;63253;1000471;5;5
105;false;2;63253;1000471;5;5
106;false;3;63254;1000468;6;5
107;false;3;63254;1000407;6;5
