professor
id;deleted;first_name;last_name1;last_name2;id_login
1;false;Aleksandar;Jurišić;NULL;NULL
2;false;Igor;Kononenko;NULL;NULL
3;false;Polona;Oblak;NULL;NULL
4;false;Matjaž;Branko;Jurič;NULL
5;false;Blaž;Zupan;NULL;NULL
6;false;Luka;Čehovin;Zajc;NULL
7;false;Marko;Robnik;Šikonja;NULL
8;false;Ivan;Bratko;NULL;NULL
9;false;Andrej;Bauer;NULL;NULL
10;false;Mojca;Ciglarič;NULL;NULL
11;false;Tomaž;Curk;NULL;NULL
12;false;Uroš;Čibej;NULL;NULL
13;false;Janez;Demšar;NULL;NULL
14;false;Andrej;Dobnikar;NULL;NULL
15;false;Tomaž;Dobravec;NULL;NULL
16;false;Matej;Guid;NULL;NULL
17;false;Dušan;Kodek;NULL;NULL
18;false;Matej;Kristan;NULL;NULL
19;false;Matjaž;Kukar;NULL;NULL
20;false;Viljan;Mahnič;NULL;NULL
21;false;Matija;Marolt;NULL;NULL
22;false;Iztok;Mihevc;NULL;NULL
23;false;Nežka;Mramor;Kosta;NULL
24;false;Miha;Mraz;NULL;NULL
25;false;Vladislav;Rajkovič;NULL;NULL
26;false;Borut;Robič;NULL;NULL
27;false;Rok;Rupnik;NULL;NULL
28;false;Aleksander;Sadikov;NULL;NULL
29;false;Danijel;Skočaj;NULL;NULL
30;false;Boštjan;Slivnik;NULL;NULL
31;false;Franc;Solina;NULL;NULL
32;false;Denis;Trček;NULL;NULL
33;false;Nikolaj;Zimic;NULL;NULL
34;false;Marko;Bajec;NULL;NULL
35;false;Zoran;Bosnić;NULL;NULL
36;false;Narvika;Bovcon;NULL;NULL
37;false;Andrej;Brodnik;NULL;NULL
38;false;Patricio;Bulić;NULL;NULL
39;false;Gašper;Fele;Žorž;NULL
40;false;Gašper;Fijavž;NULL;NULL
41;false;Tomaž;Hovelja;NULL;NULL
42;false;Franc;Jager;NULL;NULL
43;false;Dejan;Lavbič;NULL;NULL
44;false;Iztok;Lebar;Bajec;NULL
45;false;Jure;Leskovec;NULL;NULL
46;false;Aleš;Leonardis;NULL;NULL
47;false;Jaka;Lindič;NULL;NULL
48;false;Uroš;Lotrič;NULL;NULL
49;false;Bojan;Orel;NULL;NULL
50;false;Matjaž;Pančur;NULL;NULL
51;false;Peter;Peer;NULL;NULL
52;false;Veljko;Pejović;NULL;NULL
53;false;Darja;Peljhan;NULL;NULL
54;false;Igor;Škraba;NULL;NULL
55;false;Branko;Šter;NULL;NULL
56;false;Lovro;Šubelj;NULL;NULL
