course_organization
id_course_organization;id_study_year;id_professor1;id_professor2;id_professor3;id_course
1;5;5;NULL;NULL;63251
2;5;2;7;NULL;63266
3;5;6;NULL;NULL;63270
4;5;3;NULL;NULL;63207
5;5;4;NULL;NULL;63254
6;4;8;NULL;NULL;63220
7;5;9;NULL;NULL;63220
8;5;2;NULL;NULL;63279
9;5;26;NULL;NULL;63517
10;5;5;NULL;NULL;63525
11;5;28;NULL;NULL;63741
12;5;30;NULL;NULL;63265
13;5;30;NULL;NULL;63722
14;5;20;NULL;NULL;63277
15;5;30;NULL;NULL;63278
16;5;29;NULL;NULL;63268
17;5;7;NULL;NULL;63263
18;5;18;NULL;NULL;63267
19;5;11;5;NULL;63520
20;5;55;NULL;NULL;63212
21;5;38;NULL;NULL;63260
22;5;24;NULL;NULL;63257
23;5;51;NULL;NULL;63709
24;5;26;NULL;NULL;63217
25;5;38;NULL;NULL;63218
26;5;33;NULL;NULL;63204
27;5;20;NULL;NULL;63256
28;5;58;NULL;NULL;63724
29;5;38;NULL;NULL;63738
30;5;32;NULL;NULL;63249
31;5;41;NULL;NULL;63250
32;5;43;NULL;NULL;63215
33;5;19;NULL;NULL;63707
34;5;19;NULL;NULL;63226
35;5;48;NULL;NULL;63216
36;5;33;NULL;NULL;63259
37;5;10;NULL;NULL;63258
38;5;48;NULL;NULL;63261
39;5;35;NULL;NULL;63209
40;5;12;NULL;NULL;63284
41;5;40;NULL;NULL;63752
42;5;40;NULL;NULL;63242
43;5;23;NULL;NULL;63202
44;5;1;NULL;NULL;63213
45;5;59;NULL;NULL;63205
46;5;53;57;47;63248
47;5;31;NULL;NULL;63281
48;5;35;NULL;NULL;63214
49;5;23;NULL;NULL;63219
50;5;34;NULL;NULL;63208
51;4;5;NULL;NULL;63251
52;4;2;7;NULL;63266
53;4;6;NULL;NULL;63270
54;4;3;NULL;NULL;63207
55;4;4;NULL;NULL;63254
57;4;2;NULL;NULL;63279
58;4;26;NULL;NULL;63517
59;4;5;NULL;NULL;63525
60;4;28;NULL;NULL;63741
61;4;30;NULL;NULL;63265
62;4;30;NULL;NULL;63722
63;4;20;NULL;NULL;63277
64;4;30;NULL;NULL;63278
65;4;29;NULL;NULL;63268
66;4;7;NULL;NULL;63263
67;4;18;NULL;NULL;63267
68;4;11;5;NULL;63520
69;4;55;NULL;NULL;63212
70;4;38;NULL;NULL;63260
71;4;24;NULL;NULL;63257
72;4;51;NULL;NULL;63709
73;4;26;NULL;NULL;63217
74;4;38;NULL;NULL;63218
75;4;33;NULL;NULL;63204
76;4;20;NULL;NULL;63256
77;4;58;NULL;NULL;63724
78;4;38;NULL;NULL;63738
79;4;32;NULL;NULL;63249
80;4;41;NULL;NULL;63250
81;4;43;NULL;NULL;63215
82;4;19;NULL;NULL;63707
83;4;19;NULL;NULL;63226
84;4;48;NULL;NULL;63216
