ects_distribution
id;id_study_program;id_study_year;year_of_program;ects_obv;ects_piz;ects_siz;ects_mod
1;1000468;5;1;60;0;0;0
2;1000468;5;2;48;6;6;0
3;1000468;5;3;18;6;0;36
4;1000470;5;1;60;0;0;0
5;1000470;5;2;12;6;42;0
6;1000470;5;3;30;6;24;0
7;1000471;5;1;24;12;24;0
8;1000471;5;2;24;0;36;0
9;1000468;4;1;60;0;0;0
10;1000468;4;2;48;6;6;0
11;1000468;4;3;18;6;0;36
12;1000470;4;1;60;0;0;0
13;1000470;4;2;12;6;42;0
14;1000470;4;3;30;6;24;0
15;1000471;4;1;24;12;24;0
16;1000471;4;2;24;0;36;0
17;1000468;3;1;60;0;0;0
18;1000468;3;2;48;6;6;0
19;1000468;3;3;18;6;0;36
20;1000470;3;1;60;0;0;0
21;1000470;3;2;12;6;42;0
22;1000470;3;3;30;6;24;0
23;1000471;3;1;24;12;24;0
24;1000471;3;2;24;0;36;0
25;1000468;2;1;60;0;0;0
26;1000468;2;2;48;6;6;0
27;1000468;2;3;18;6;0;36
28;1000470;2;1;60;0;0;0
29;1000470;2;2;12;6;42;0
30;1000470;2;3;30;6;24;0
31;1000471;2;1;24;12;24;0
32;1000471;2;2;24;0;36;0
33;1000468;1;1;60;0;0;0
34;1000468;1;2;48;6;6;0
35;1000468;1;3;18;6;0;36
36;1000470;1;1;60;0;0;0
37;1000470;1;2;12;6;42;0
38;1000470;1;3;30;6;24;0
39;1000471;1;1;24;12;24;0
40;1000471;1;2;24;0;36;0
