student_courses
id_student_courses;grade;id_course;id_enrolment
1;NULL;63212;1
2;6;63205;1
3;NULL;63203;1
4;8;63204;1
5;NULL;63209;1
6;NULL;63207;1
7;5;63277;1
8;NULL;63278;1
9;NULL;63215;1
10;5;63202;1
11;NULL;63212;2
12;NULL;63205;2
13;NULL;63203;2
14;NULL;63204;2
15;NULL;63209;2
16;NULL;63207;2
17;NULL;63277;2
18;NULL;63278;2
19;NULL;63215;2
20;NULL;63202;2
21;NULL;63213;3
22;NULL;63279;3
23;NULL;63280;3
24;NULL;63208;3
25;NULL;63217;3
26;NULL;63517;3
27;NULL;63216;3
28;NULL;63218;3
29;NULL;63220;3
30;NULL;63219;3
31;NULL;63213;4
32;NULL;63517;4
33;NULL;63280;4
34;NULL;63212;5
35;NULL;63205;5
36;NULL;63203;5
37;NULL;63204;5
38;NULL;63209;5
39;NULL;63207;5
40;NULL;63277;5
41;NULL;63278;5
42;NULL;63215;5
43;NULL;63213;6
44;NULL;63279;6
45;NULL;63280;6
46;NULL;63208;6
47;NULL;63217;6
48;NULL;63517;6
49;NULL;63216;6
50;NULL;63218;6
51;NULL;63220;6
52;NULL;63219;6
53;8;63212;7
54;7;63205;7
55;7;63203;7
56;10;63204;7
57;6;63209;7
58;9;63207;7
59;9;63277;7
60;8;63278;7
61;10;63215;7
62;8;63202;7
63;6;63213;8
64;10;63279;8
65;9;63280;8
66;9;63208;8
67;9;63217;8
68;7;63517;8
69;10;63216;8
70;10;63218;8
71;10;63220;8
72;8;63219;8
73;NULL;63214;9
74;NULL;63281;9
75;NULL;63248;9
76;NULL;63268;9
77;NULL;63266;9
78;NULL;63267;9
79;NULL;63255;9
80;10;63254;9
81;NULL;63256;9
82;NULL;63251;9
83;6;63212;10
84;5;63205;10
85;5;63203;10
86;6;63204;10
87;5;63209;10
88;6;63207;10
89;6;63277;10
90;7;63278;10
91;6;63215;10
92;5;63202;10
93;5;63205;11
94;6;63203;11
95;6;63202;11
96;6;63209;11
99;10;63212;13
100;5;63205;13
101;8;63203;13
102;6;63204;13
103;10;63209;13
104;7;63207;13
105;8;63277;13
106;9;63278;13
107;6;63215;13
108;7;63202;13
109;NULL;63213;14
110;NULL;63279;14
111;8;63280;14
112;NULL;63208;14
113;NULL;63217;14
114;NULL;63517;14
115;NULL;63216;14
116;NULL;63218;14
117;NULL;63220;14
118;NULL;63219;14
119;10;63212;15
120;9;63205;15
121;10;63203;15
122;10;63204;15
123;10;63209;15
124;10;63207;15
125;10;63277;15
126;10;63278;15
127;9;63215;15
128;10;63202;15
129;5;63213;16
130;10;63279;16
131;NULL;63280;16
132;NULL;63208;16
133;NULL;63217;16
134;NULL;63517;16
135;NULL;63216;16
136;NULL;63218;16
137;NULL;63220;16
138;NULL;63219;16
139;8;63212;17
140;6;63205;17
141;7;63203;17
142;6;63204;17
143;8;63209;17
144;7;63207;17
145;8;63277;17
146;6;63278;17
147;8;63215;17
148;7;63202;17
149;5;63213;18
150;5;63279;18
151;5;63280;18
152;9;63208;18
153;8;63217;18
154;5;63517;18
155;10;63216;18
156;8;63218;18
157;6;63220;18
158;6;63219;18
159;NULL;63517;19
160;NULL;63279;19
161;NULL;63280;19
162;NULL;63213;19
163;NULL;63214;19
164;NULL;63212;20
165;NULL;63205;20
166;NULL;63203;20
167;NULL;63204;20
168;NULL;63209;20
169;NULL;63207;20
170;NULL;63277;20
171;NULL;63278;20
172;NULL;63215;20
173;NULL;63202;20
174;8;63213;21
175;8;63279;21
176;10;63280;21
177;9;63208;21
178;10;63217;21
179;9;63517;21
180;10;63216;21
181;9;63218;21
182;9;63220;21
183;9;63219;21
184;NULL;63214;22
185;NULL;63281;22
186;NULL;63248;22
187;NULL;63268;22
188;NULL;63266;22
189;NULL;63267;22
190;NULL;63255;22
191;NULL;63254;22
192;NULL;63256;22
193;NULL;63251;22
194;NULL;63707;272
195;NULL;63701;272
196;NULL;63705;272
197;6;63212;24
198;6;63205;24
199;7;63203;24
200;6;63204;24
201;5;63209;24
202;5;63207;24
203;5;63277;24
204;5;63278;24
205;5;63215;24
206;5;63202;24
207;NULL;63212;25
208;NULL;63205;25
209;NULL;63203;25
210;NULL;63204;25
211;NULL;63209;25
212;NULL;63207;25
213;NULL;63277;25
214;NULL;63278;25
215;NULL;63215;25
216;NULL;63202;25
217;NULL;63205;26
218;NULL;63203;26
219;NULL;63202;26
220;NULL;63209;26
221;NULL;63218;26
222;NULL;63213;27
223;NULL;63279;27
224;NULL;63280;27
225;NULL;63208;27
226;NULL;63217;27
227;NULL;63517;27
228;NULL;63216;27
229;NULL;63218;27
230;NULL;63220;27
231;NULL;63219;27
232;NULL;63212;28
233;NULL;63205;28
234;NULL;63203;28
235;NULL;63204;28
236;NULL;63209;28
237;NULL;63207;28
238;NULL;63277;28
239;NULL;63278;28
240;NULL;63215;28
241;NULL;63202;28
247;8;63212;30
