exam_sign_up
id;confirmed;returned;suggested_grade;written_score;id_course_exam_term;id_student_course
1;true;true;NULL;NULL;158;54
2;true;false;5;9;159;54
3;true;false;7;61;160;54
4;true;false;8;72;167;53
5;true;false;5;3;147;59
6;true;false;9;85;148;59
7;true;false;8;72;149;62
8;true;false;5;13;152;55
9;true;false;7;69;153;55
10;true;false;10;92;157;56
11;true;false;5;14;161;60
12;true;false;8;75;162;60
13;true;false;9;86;164;58
14;true;false;6;55;171;57
15;true;false;10;93;173;61
16;true;false;10;94;209;64
17;true;false;9;83;213;65
18;true;false;9;88;216;66
19;true;false;6;52;207;63
20;true;false;7;62;221;68
21;true;false;10;97;224;69
22;true;false;9;85;219;67
23;true;false;10;96;227;70
24;true;false;8;72;234;72
25;true;false;10;98;230;71
26;true;false;5;36;158;84
27;true;false;5;20;159;84
28;true;false;5;7;160;84
29;true;false;6;50;167;83
30;true;false;6;55;147;89
31;true;false;5;46;149;92
32;true;false;5;35;152;85
33;true;false;5;43;153;85
34;true;false;6;58;157;86
35;true;false;5;11;161;90
36;true;false;6;53;162;90
37;true;false;6;50;164;88
38;true;false;5;26;171;87
39;true;false;6;59;173;91
40;true;false;5;2;189;93
41;true;false;5;28;190;93
42;true;false;5;35;182;94
43;true;false;6;55;183;94
44;true;false;6;55;179;95
47;true;true;NULL;NULL;176;105
48;true;false;8;70;177;105
49;true;false;7;65;180;108
50;true;false;8;78;182;101
51;true;false;5;21;185;102
52;true;false;5;6;186;102
53;true;false;6;58;187;102
54;true;false;5;17;188;100
55;true;false;9;89;191;106
56;true;false;7;66;194;104
57;true;false;10;98;200;103
58;true;false;6;59;203;107
59;true;false;10;98;197;99
60;true;false;10;95;176;125
61;true;false;10;98;180;128
62;true;false;10;94;182;121
63;true;false;7;64;185;122
64;true;false;10;92;186;122
65;true;false;9;83;188;120
66;true;false;10;97;191;126
67;true;false;10;93;194;124
68;true;false;10;94;200;123
69;true;false;9;83;203;127
70;true;false;10;94;197;119
71;true;true;NULL;NULL;159;140
72;true;false;6;52;160;140
73;true;false;8;79;167;139
74;true;false;8;77;147;145
75;true;false;7;60;149;148
76;true;false;5;46;152;141
77;true;false;7;60;153;141
78;true;false;6;50;157;142
79;true;false;5;41;161;146
80;true;false;6;52;162;146
81;true;false;7;64;164;144
82;true;false;8;76;171;143
