course_stprogram
id_course;id_study_program
63508;L1
63508;7002801
63508;KP00
63711;VU
63279;VV
63279;VT
63723;VU
63705;VU
63705;Z2
63203;VT
63266;L1
63266;VT
63266;VV
63517;L1
63517;7002801
63517;KP00
63525;7002801
63525;KP00
63525;L1
63741;VU
63765;VU
63765;Z2
63251;L1
63251;VT
63251;VV
63265;L1
63265;VT
63265;VV
63722;VU
63220;VT
63220;VV
63502;X5
63277;VT
63277;VV
63277;MM
63702;VU
63702;Z2
63278;VT
63278;VV
63278;MM
63706;VU
63706;Z2
63268;VT
63268;L1
63268;VV
63263;L1
63263;VT
63739;VU
63519;L1
63519;KP00
63519;7002801
63510;L1
63510;7002801
63510;KP00
63720;VU
63720;Z2
63267;VV
63267;L1
63267;VT
63520;L1
63520;7002801
63520;KP00
63212;VT
63212;VV
63718;VU
63260;VV
63260;L1
63260;VT
63257;L1
63257;VT
63257;VV
63729;VU
63709;VU
63709;Z2
63217;VT
63217;VV
63717;VU
63218;VT
63204;VV
63204;VT
63703;VU
63703;Z2
63221;VT
63221;VV
63509;L1
63509;7002801
63509;KP00
63264;L1
63264;VT
63264;VV
63736;VU
63728;VU
63262;L1
63262;VT
63516;L1
63516;KP00
63516;7002801
63744;VU
63532;L1
63532;7002801
63518;L1
63518;7002801
63715;VU
63527;L1
63527;7002801
63527;KP00
63210;VT
63210;MM
63734;VU
63270;L1
63270;VT
63270;VV
63514;L1
63514;KP00
63514;7002801
63271;VT
63271;VV
63271;L1
63271;MM
63271;Z2
63547;L1
63547;7002801
63547;KP00
63726;VU
63719;VU
63269;L1
63269;VT
63269;VV
63269;MM
63740;VU
63721;VU
63721;Z2
63701;VU
63701;Z2
63714;VU
63533;L1
63533;7002801
63512;L1
63512;KP00
63512;7002801
63526;L1
63526;7002801
63253;L1
63253;VT
63253;VV
63253;Z2
63254;L1
63254;VT
63254;VV
63737;VU
63515;L1
63515;7002801
63515;KP00
63727;VU
63727;Z2
63255;VV
63255;L1
63255;VT
63732;VU
63732;Z2
63256;L1
63256;VT
63256;VV
63724;VU
63724;Z2
63738;VU
63712;VU
63249;VV
63249;L1
63249;VT
63249;Z2
63521;L1
63521;7002801
63521;KP00
63528;L1
63528;KP00
63528;7002801
63250;L1
63250;VT
63250;VV
63215;VT
63707;VU
63713;VU
63725;VU
63530;L1
63530;KP00
63530;7002801
63226;L1
63226;VT
63226;VV
63226;Z2
63216;VT
63259;VV
63259;L1
63259;VT
63511;L1
63511;7002801
63258;VV
63258;L1
63258;VT
63716;VU
63716;Z2
63261;L1
63261;VT
63261;VV
63209;VT
63209;VV
63209;Z2
63708;VU
63735;VU
