curriculum
year_of_program;part_of_curriculum;id_course;id_study_program;id_study_year
1;1;63508;L1;5
1;1;63508;KP00;5
1;1;63508;7002801;5
2;1;63711;VU;5
2;1;63279;VT;5
2;1;63279;VV;5
2;1;63280;VT;5
2;1;63280;VV;5
1;1;63705;VU;5
1;1;63203;VT;5
3;10;63266;VT;5
3;10;63266;VV;5
1;10;63266;L1;5
2;10;63266;L1;5
2;1;63517;VT;5
2;1;63517;VV;5
2;2;63741;VU;5
2;2;63765;VU;5
3;4;63251;VT;5
3;4;63251;VV;5
1;4;63251;L1;5
2;4;63251;L1;5
3;9;63265;VT;5
3;9;63265;VV;5
1;9;63265;L1;5
2;9;63265;L1;5
2;2;63722;VU;5
1;1;63277;VT;5
1;1;63277;VV;5
1;1;63277;MM;5
1;1;63702;VU;5
1;1;63278;VT;5
1;1;63278;MM;5
1;1;63278;VV;5
1;1;63706;VU;5
3;10;63268;VT;5
3;10;63268;VV;5
3;10;63268;L1;5
2;2;63220;VT;5
3;2;63220;VT;5
2;1;63220;VV;5
3;9;63263;VT;5
3;9;63263;VV;5
1;9;63263;L1;5
2;9;63263;L1;5
2;2;63739;VU;5
1;1;63212;VT;5
1;1;63212;VV;5
2;2;63718;VU;5
3;8;63260;VT;5
3;8;63260;VV;5
1;8;63260;L1;5
2;8;63260;L1;5
3;7;63257;VT;5
3;7;63257;VV;5
1;7;63257;L1;5
2;7;63257;L1;5
2;2;63729;VU;5
1;1;63709;VU;5
2;1;63217;VT;5
2;2;63717;VU;5
2;1;63218;VT;5
1;1;63204;VT;5
1;1;63204;VV;5
2;2;63221;VT;5
1;1;63703;VU;5
1;1;63509;L1;5
1;1;63509;KP00;5
3;9;63264;VT;5
3;9;63264;VV;5
1;9;63264;L1;5
2;9;63264;L1;5
2;2;63736;VU;5
2;2;63728;VU;5
3;8;63262;VT;5
3;8;63262;VV;5
1;8;63262;L1;5
2;8;63262;L1;5
2;2;63744;VU;5
2;2;63715;VU;5
2;2;63734;VU;5
3;11;63270;VT;5
3;11;63270;VV;5
1;11;63270;L1;5
2;11;63270;L1;5
3;11;63271;VT;5
3;11;63271;VV;5
1;11;63271;L1;5
2;11;63271;L1;5
2;1;63271;MM;5
2;2;63726;VU;5
2;2;63719;VU;5
3;11;63269;VT;5
3;11;63269;VV;5
2;11;63269;MM;5
1;11;63269;L1;5
2;11;63269;L1;5
2;2;63740;VU;5
2;2;63721;VU;5
1;1;63701;VU;5
2;2;63714;VU;5
3;5;63253;VT;5
3;5;63253;VV;5
1;5;63253;L1;5
2;5;63253;L1;5
3;6;63254;VT;5
3;6;63254;VV;5
1;6;63254;L1;5
2;6;63254;L1;5
2;2;63737;VU;5
2;3;63737;VT;5
3;3;63737;VT;5
2;2;63725;VU;5
2;2;63727;VU;5
3;6;63255;VT;5
3;6;63255;VV;5
1;6;63255;L1;5
2;6;63255;L1;5
3;1;63732;VU;5
3;6;63256;VT;5
3;6;63256;VV;5
1;6;63256;L1;5
3;6;63256;L2;5
2;2;63724;VU;5
2;2;63738;VU;5
3;4;63249;VT;5
3;4;63249;VV;5
1;4;63249;L1;5
2;4;63249;L1;5
3;4;63250;VT;5
3;4;63250;VV;5
1;4;63250;L1;5
2;4;63250;L2;5
1;1;63215;VT;5
1;1;63707;VU;5
2;2;63713;VU;5
3;5;63226;VT;5
3;5;63226;VV;5
1;5;63226;L1;5
2;5;63226;L1;5
2;1;63216;VT;5
3;7;63259;VT;5
3;7;63259;VV;5
1;7;63259;L1;5
2;7;63259;L1;5
3;7;63258;VT;5
3;7;63258;VV;5
1;7;63258;L1;5
2;7;63258;L1;5
2;2;63716;VU;5
3;8;63261;VT;5
3;8;63261;VV;5
1;8;63261;L1;5
2;8;63261;L1;5
1;1;63209;VT;5
2;1;63209;VV;5
1;1;63708;VU;5
3;2;63735;VU;5
2;3;63284;VT;5
3;3;63284;VT;5
2;3;63752;VT;5
3;3;63752;VT;5
2;3;63242;VT;5
3;3;63242;VT;5
2;1;63213;VT;5
1;1;63710;VU;5
1;1;63202;VT;5
1;1;63202;MM;5
1;1;63207;VT;5
1;1;63207;MM;5
1;1;63205;VT;5
3;1;63248;VT;5
3;1;63281;VT;5
3;1;63214;VT;5
3;1;63214;VV;5
