study_program
id;name;id_study_degree;semesters;evs_code
XU;Humanistika in družba;M;6;NULL
LE;Informacijski sistemi in odločanje;G;4;1000479
L3;Informacijski sistemi in odločanje;F;4;1000480
X5;Kognitivna znanost;L;4;1000472
MM;Multimedija;K;6;1001001
7002801;Pedagoško računalništvo in informatika;L;4;100977
Izmenjave;Predmetnik za tuje študente na izmenjavi;NULL;NULL;NULL
L2;Računalništvo in informatika;C;9;1000475
P7;Računalništvo in matematika;C;8;1000425
HB;Računalništvo in informatika;B;6;1000477
VV;Računalništvo in matematika;K;6;1000407
L1;Računalništvo in informatika;L;4;1000471
VT;Računalništvo in informatika;K;6;1000468
VU;Računalništvo in informatika;J;6;1000470
X6;Računalništvo in informatika;M;6;1000474
7E;Računalništvo in informatika;G;4;1000478
71;Računalništvo in informatika;F;4;1000481
02;Računalništvo in informatika;71;8;NULL
03;Računalništvo in informatika;61;4;NULL
KP00;Računalništvo in matematika;L;4;1000934
Z2;Upravna informatika;K;6;1000469
